age_upon_outcome,animal_id,animal_type,breed,color,date_of_birth,datetime,name,outcome_subtype,outcome_type,sex_upon_outcome
3 months,A671862,Dog,Dachshund/Chihuahua Shorthair,Buff,2013-10-31T00:00:00,2014-02-04T17:08:00,Shippo,partner,Adoption,Neutered Male
2 years,A683934,Cat,Domestic Shorthair Mix,Orange Tabby,2012-07-17T00:00:00,2014-07-23T18:32:00,Lucy,partner,Adoption,Spayed Female
1 month,A679694,Cat,Domestic Shorthair Mix,White/Brown Tabby,2014-04-24T00:00:00,2014-06-21T15:18:00,Emma,partner,Adoption,Intact Female
2 years,A667530,Cat,Domestic Shorthair Mix,Calico,2011-11-19T00:00:00,2013-12-27T15:49:00,*Callie,Partner,Transfer,Spayed Female
1 month,A665220,Dog,Australian Cattle Dog Mix,Tricolor,2013-09-01T00:00:00,2013-10-29T11:27:00,Lucy,Partner,Transfer,Intact Male
2 years,A671344,Dog,Chihuahua Shorthair Mix,Black/Tan,2012-01-22T00:00:00,2014-01-22T17:32:00,Lucy,Rabies Risk,Euthanasia,Intact Male
10 years,A683777,Dog,Dachshund Mix,Black/Brown,2004-01-15T00:00:00,2014-07-21T13:07:00,Maddie,Partner,Transfer,Spayed Female
3 years,A670828,Dog,Chihuahua Shorthair Mix,Tan,2011-01-14T00:00:00,2014-01-26T14:19:00,Estrella,Partner,Transfer,Spayed Female
1 year,A682573,Dog,German Wirehaired Pointer Mix,Black/White,2013-06-29T00:00:00,2014-07-11T15:25:00,Harley Quinn,partner,Adoption,Spayed Female
2 weeks,A665387,Cat,Domestic Shorthair Mix,Tortie,2013-10-02T00:00:00,2013-10-17T13:32:00,Lucy,Partner,Transfer,Intact Female
1 year,A670183,Cat,Domestic Shorthair Mix,Brown Tabby/White,2013-01-03T00:00:00,2014-01-05T18:20:00,Lucy,SCRP,Transfer,Intact Male
1 year,A681512,Dog,Chihuahua Shorthair Mix,Tan,2013-06-17T00:00:00,2014-08-03T15:48:00,*Jasper,partner,Adoption,Neutered Male
10 months,A668282,Dog,Labrador Retriever/Greyhound,Black/White,2013-02-01T00:00:00,2013-12-26T18:24:00,Maddie,partner,Adoption,Spayed Female
2 months,A679175,Cat,Domestic Shorthair Mix,Orange Tabby/White,2014-03-17T00:00:00,2014-05-20T18:50:00,Orange,partner,Adoption,Neutered Male
14 years,A665959,Dog,Siberian Husky Mix,Black/White,1998-12-27T00:00:00,2013-10-29T11:32:00,*Moomoo,partner,Return to Owner,Spayed Female
1 year,A676717,Dog,Shih Tzu Mix,White/Black,2013-04-14T00:00:00,2014-04-23T14:29:00,Zorrito,partner,Return to Owner,Neutered Male
2 years,A670804,Dog,Australian Kelpie/Labrador Retriever,Black/White,2012-01-14T00:00:00,2014-01-14T17:44:00,Domino,partner,Return to Owner,Spayed Female
3 days,A680439,Cat,Domestic Shorthair Mix,Cream,2014-05-30T00:00:00,2014-06-02T20:06:00,Lucy,Partner,Transfer,Unknown
2 months,A679432,Cat,Domestic Shorthair Mix,Orange Tabby,2014-04-14T00:00:00,2014-07-01T18:59:00,*Rooster,partner,Adoption,Neutered Male
4 weeks,A675546,Other,Bat,Brown/Black,2014-03-01T00:00:00,2014-03-29T08:43:00,Lucy,Rabies Risk,Euthanasia,Unknown
1 weeks,A677698,Cat,Domestic Shorthair Mix,Black Tabby,2014-04-18T00:00:00,2014-04-28T10:36:00,Lucy,Partner,Transfer,Intact Male
3 years,A669639,Dog,Plott Hound/Carolina Dog,Brown/Tan,2010-06-24T00:00:00,2014-01-10T16:11:00,Chona,partner,Return to Owner,Spayed Female
6 years,A667662,Dog,Maltese/Papillon,White/Black,2007-05-01T00:00:00,2013-12-02T11:47:00,Tucker,partner,Return to Owner,Neutered Male
3 years,A676702,Cat,Domestic Longhair Mix,Blue Tabby,2011-04-14T00:00:00,2014-04-30T16:29:00,*Greta,Partner,Transfer,Intact Female
1 year,A652840,Dog,German Shepherd/Australian Cattle Dog,Red Tick,2012-04-29T00:00:00,2013-12-24T11:40:00,Zooey,partner,Adoption,Spayed Female
11 months,A674954,Dog,Pointer/Australian Cattle Dog,White/Brown,2013-04-20T00:00:00,2014-03-25T13:11:00,Rusty,partner,Adoption,Neutered Male
2 months,A663609,Cat,Domestic Shorthair Mix,Black/White,2013-07-06T00:00:00,2013-10-05T19:00:00,*Alex,partner,Adoption,Neutered Male
4 years,A664175,Dog,Basset Hound/Labrador Retriever,Tricolor,2009-09-30T00:00:00,2013-10-10T13:10:00,*Daisy,partner,Adoption,Spayed Female
2 months,A681418,Dog,Anatol Shepherd Mix,Sable/Black,2014-04-05T00:00:00,2014-06-21T14:05:00,Julia,partner,Adoption,Spayed Female
7 years,A685673,Dog,Rhod Ridgeback Mix,Tan,2007-01-11T00:00:00,2014-08-17T15:54:00,Maya,partner,Return to Owner,Spayed Female
2 months,A682039,Cat,Domestic Shorthair Mix,Black/White,2014-04-07T00:00:00,2014-07-01T13:01:00,Rocky,partner,Adoption,Neutered Male
2 years,A665020,Cat,Domestic Shorthair Mix,Tortie,2011-10-12T00:00:00,2013-10-13T15:24:00,Lucy,SCRP,Transfer,Intact Female
3 years,A683354,Dog,Boxer/Labrador Retriever,Brown,2011-07-09T00:00:00,2014-07-10T16:49:00,Lucy,Suffering,Euthanasia,Intact Male
2 years,A669086,Cat,Siamese Mix,Lynx Point,2011-12-14T00:00:00,2013-12-14T12:49:00,Lucy,Suffering,Euthanasia,Intact Male
3 years,A676865,Dog,Chihuahua Shorthair Mix,Tan,2011-04-16T00:00:00,2014-06-19T14:43:00,Rosie,Partner,Transfer,Spayed Female
1 year,A674347,Dog,Pit Bull Mix,Blue/White,2013-03-11T00:00:00,2014-03-16T15:21:00,Lucy,Aggressive,Euthanasia,Intact Male
1 year,A665706,Other,Bat Mix,Brown,2012-10-21T00:00:00,2013-10-21T18:50:00,Lucy,partner,Disposal,Unknown
4 years,A666802,Dog,Maltese Mix,White,2009-11-07T00:00:00,2013-11-11T16:57:00,Lucy,Partner,Transfer,Neutered Male
2 years,A681414,Cat,Domestic Shorthair Mix,Tortie,2012-06-16T00:00:00,2014-06-18T09:00:00,Lucy,SCRP,Transfer,Intact Female
2 years,A673958,Dog,Pit Bull Mix,Blue/White,2012-03-05T00:00:00,2014-03-07T16:55:00,Kilo,partner,Return to Owner,Neutered Male
4 weeks,A679642,Cat,Siamese Mix,Flame Point,2014-04-24T00:00:00,2014-05-27T17:29:00,Cotton,Partner,Transfer,Intact Male
6 years,A623762,Dog,Chihuahua Shorthair Mix,Tricolor,2008-03-28T00:00:00,2014-03-29T11:19:00,Prince,partner,Adoption,Neutered Male
1 year,A675467,Cat,Domestic Shorthair Mix,White,2013-03-28T00:00:00,2014-03-28T10:19:00,Lucy,partner,Died,Unknown
1 year,A666994,Dog,Boxer Mix,Black/White,2012-11-10T00:00:00,2013-12-01T19:00:00,*Trixie,partner,Adoption,Spayed Female
1 year,A632969,Dog,Pit Bull Mix,Brown Brindle/White,2012-05-22T00:00:00,2013-10-06T15:36:00,Kane,partner,Return to Owner,Neutered Male
4 weeks,A678140,Cat,Domestic Longhair/Rex,Tortie,2014-04-04T00:00:00,2014-05-08T11:34:00,*Lily,Partner,Transfer,Intact Female
4 months,A666590,Cat,Domestic Longhair Mix,Blue,2013-10-04T00:00:00,2014-02-19T15:24:00,*Marcus,Foster,Adoption,Neutered Male
3 months,A685779,Cat,Siamese/Domestic Shorthair,Seal Point,2014-05-12T00:00:00,2014-08-12T15:13:00,Lucy,Suffering,Euthanasia,Unknown
9 years,A378348,Dog,German Shepherd Mix,Black/Brown,2004-08-07T00:00:00,2014-01-19T13:39:00,Frijolito,partner,Adoption,Neutered Male
2 months,A679785,Cat,Domestic Shorthair Mix,Brown Tabby,2014-04-20T00:00:00,2014-06-29T12:08:00,*Ivy,partner,Adoption,Spayed Female
3 years,A674729,Dog,Manchester Terrier Mix,Black/Tan,2011-03-17T00:00:00,2014-05-09T13:02:00,*Hannah,Partner,Transfer,Spayed Female
2 years,A601869,Cat,Domestic Shorthair Mix,Black,2011-04-10T00:00:00,2013-11-14T12:04:00,Otto,partner,Return to Owner,Neutered Male
2 months,A679931,Cat,Domestic Shorthair Mix,Black/White,2014-04-21T00:00:00,2014-07-12T20:48:00,*Salsa,Foster,Adoption,Spayed Female
3 weeks,A676994,Cat,Domestic Shorthair Mix,Brown Tabby/White,2014-03-26T00:00:00,2014-04-17T19:23:00,Lucy,Partner,Transfer,Intact Male
0 years,A666602,Dog,Beagle/Chihuahua Shorthair,White,2013-11-04T00:00:00,2013-11-04T14:55:00,Lucy,Partner,Transfer,Intact Female
1 year,A677496,Dog,Chihuahua Shorthair Mix,Black/Brown,2013-04-25T00:00:00,2014-05-20T17:56:00,Weasel,partner,Adoption,Neutered Male
3 years,A677312,Dog,Maltese/Chihuahua Shorthair,White/Buff,2011-04-23T00:00:00,2014-05-05T17:32:00,Tiger,partner,Adoption,Neutered Male
2 years,A683676,Dog,Chihuahua Shorthair Mix,Black/White,2012-07-13T00:00:00,2014-07-18T18:21:00,Ziggy,partner,Adoption,Neutered Male
4 years,A677733,Dog,Carolina Dog Mix,Tan/White,2010-05-05T00:00:00,2014-05-20T11:43:00,Reese,Partner,Transfer,Spayed Female
2 months,A678814,Cat,Domestic Shorthair Mix,Brown Tabby,2014-04-06T00:00:00,2014-06-20T17:04:00,*Belle,partner,Adoption,Spayed Female
3 months,A683291,Cat,Siamese Mix,Lynx Point,2014-03-28T00:00:00,2014-07-13T17:30:00,Lucy,partner,Adoption,Neutered Male
1 year,A664051,Dog,Labrador Retriever Mix,White,2012-09-28T00:00:00,2013-11-11T14:27:00,*Harmony,partner,Adoption,Spayed Female
4 years,A665066,Dog,Border Collie/Chow Chow,Black,2009-10-13T00:00:00,2013-11-03T12:50:00,Gigi,partner,Adoption,Spayed Female
7 years,A684076,Dog,German Shepherd,Black/Tan,2007-07-21T00:00:00,2014-08-17T18:21:00,*Rocky,partner,Adoption,Neutered Male
3 years,A665838,Cat,Siamese Mix,Lilac Point,2010-10-23T00:00:00,2013-10-24T15:25:00,Lucy,SCRP,Transfer,Spayed Female
4 years,A681814,Dog,Catahoula/Australian Shepherd,Tan/White,2010-06-20T00:00:00,2014-06-29T18:14:00,June Bug,partner,Adoption,Spayed Female
8 years,A663340,Cat,Domestic Shorthair Mix,Brown Tabby/White,2005-09-17T00:00:00,2014-02-20T08:06:00,Leo,Foster,Adoption,Neutered Male
2 years,A645246,Dog,Mastiff Mix,Blue/White,2011-07-05T00:00:00,2014-06-23T19:12:00,Tyson,Suffering,Euthanasia,Intact Male
3 years,A683337,Cat,Domestic Medium Hair Mix,Brown Tabby/White,2011-07-09T00:00:00,2014-07-18T16:04:00,Lucy,Partner,Transfer,Intact Male
2 months,A659887,Cat,Domestic Shorthair Mix,Cream Tabby,2013-07-31T00:00:00,2013-10-23T17:15:00,*Roy,partner,Adoption,Neutered Male
8 months,A675649,Dog,Yorkshire Terrier Mix,White/Brown,2013-07-31T00:00:00,2014-04-01T18:08:00,Anna Nicole,partner,Return to Owner,Spayed Female
10 months,A681884,Dog,Chihuahua Shorthair Mix,Tan/White,2013-08-21T00:00:00,2014-06-25T17:26:00,Winnie,partner,Adoption,Spayed Female
2 months,A680808,Dog,Black Mouth Cur Mix,Brown,2014-03-24T00:00:00,2014-06-22T17:14:00,Ernest,partner,Adoption,Neutered Male
6 months,A665595,Dog,Chihuahua Shorthair,Tricolor,2013-04-19T00:00:00,2013-10-23T16:56:00,Terrance,partner,Return to Owner,Neutered Male
5 years,A586186,Dog,Pit Bull,White,2008-10-04T00:00:00,2013-12-03T18:18:00,Arthur,partner,Return to Owner,Neutered Male
3 years,A675117,Dog,Boxer,Red/Black,2011-03-23T00:00:00,2014-04-25T16:23:00,*Boogie,partner,Adoption,Neutered Male
8 months,A668648,Dog,Great Pyrenees Mix,White,2013-04-07T00:00:00,2013-12-08T18:05:00,Snoopy,partner,Return to Owner,Neutered Male
3 years,A670723,Dog,Chihuahua Shorthair Mix,Tan,2011-01-13T00:00:00,2014-01-13T16:01:00,Pequena,partner,Return to Owner,Spayed Female
2 months,A660041,Cat,Domestic Shorthair Mix,Orange Tabby,2013-07-18T00:00:00,2013-10-03T17:27:00,*Adam,partner,Adoption,Neutered Male
8 years,A677413,Dog,Pug Mix,Sable,2006-04-25T00:00:00,2014-04-25T11:51:00,Kc,partner,Return to Owner,Neutered Male
9 years,A675919,Dog,Chihuahua Shorthair Mix,Black/Tan,2005-04-02T00:00:00,2014-04-05T14:09:00,Pedro,partner,Return to Owner,Neutered Male
12 years,A671204,Dog,Chihuahua Shorthair/Dachshund,Red/White,2002-01-25T00:00:00,2014-01-25T12:27:00,Precious,partner,Return to Owner,Spayed Female
3 years,A675511,Cat,Domestic Shorthair Mix,Blue/White,2011-03-28T00:00:00,2014-04-20T15:03:00,*Chris,partner,Adoption,Neutered Male
2 months,A668527,Dog,Chihuahua Shorthair Mix,White/Brown,2013-11-12T00:00:00,2014-02-04T18:39:00,*Guapo,Foster,Adoption,Neutered Male
2 years,A671370,Cat,Domestic Shorthair Mix,Brown Tabby/White,2012-01-23T00:00:00,2014-01-24T14:28:00,Lucy,SCRP,Transfer,Intact Female
3 years,A644204,Cat,Domestic Shorthair Mix,Cream Tabby,2010-12-21T00:00:00,2014-02-10T16:34:00,Puma,partner,Return to Owner,Neutered Male
4 years,A667748,Dog,German Shepherd Mix,Sable,2009-11-22T00:00:00,2013-12-07T16:51:00,Ohana,partner,Adoption,Spayed Female
2 months,A677093,Cat,Domestic Shorthair,Cream Tabby,2014-04-16T00:00:00,2014-06-17T18:53:00,*Fraggle,partner,Adoption,Neutered Male
7 years,A661068,Dog,Rat Terrier Mix,Tricolor,2006-08-15T00:00:00,2013-11-25T14:58:00,Beanie,Partner,Transfer,Neutered Male
1 year,A669072,Other,Fox Mix,Gray/Red,2012-12-14T00:00:00,2013-12-14T11:09:00,Lucy,Suffering,Euthanasia,Unknown
3 months,A676725,Dog,Anatol Shepherd Mix,Cream/Black,2013-12-14T00:00:00,2014-04-14T19:37:00,Lucy,Partner,Transfer,Intact Female
4 weeks,A682847,Other,Bat,Brown,2014-06-03T00:00:00,2014-07-03T19:07:00,Lucy,Rabies Risk,Euthanasia,Unknown
2 months,A666528,Dog,Cairn Terrier Mix,Brown,2013-09-03T00:00:00,2013-11-06T11:38:00,Holiday,Partner,Transfer,Spayed Female
3 days,A677621,Cat,Domestic Shorthair Mix,Black,2014-04-24T00:00:00,2014-04-27T12:15:00,Lucy,Partner,Transfer,Unknown
2 months,A681434,Cat,Domestic Shorthair Mix,Cream Tabby,2014-04-09T00:00:00,2014-06-30T18:09:00,Golden Boy,partner,Adoption,Neutered Male
2 months,A670657,Dog,Queensland Heeler Mix,Black/White,2013-11-11T00:00:00,2014-01-19T17:54:00,*Gretel,partner,Adoption,Spayed Female
8 months,A685119,Dog,Dachshund Mix,Black/Tan,2013-12-02T00:00:00,2014-08-06T18:13:00,Olive,partner,Adoption,Spayed Female
2 years,A670824,Cat,Domestic Longhair Mix,Blue Tabby,2012-01-14T00:00:00,2014-01-16T14:20:00,Lucy,SCRP,Transfer,Intact Male
1 year,A655647,Dog,Irish Terrier Mix,Black/Tan,2012-12-04T00:00:00,2014-08-23T17:12:00,Minnie,Partner,Transfer,Spayed Female
1 year,A668904,Dog,American Staffordshire Terrier Mix,White/Tan,2012-06-11T00:00:00,2013-12-11T16:33:00,Buddy,partner,Return to Owner,Neutered Male
10 months,A681805,Dog,Jack Russell Terrier/Chihuahua Shorthair,Red/White,2013-09-20T00:00:00,2014-07-29T14:04:00,Lucy,Foster,Adoption,Neutered Male
4 years,A663299,Dog,Pit Bull Mix,Brown Brindle/White,2009-09-16T00:00:00,2013-10-24T10:34:00,Jedi,Aggressive,Euthanasia,Neutered Male
2 years,A667607,Cat,Domestic Shorthair Mix,Brown Tabby/White,2011-11-20T00:00:00,2013-11-26T15:29:00,Lucy,SCRP,Transfer,Intact Male
5 years,A678972,Dog,Dachshund Mix,Brown Brindle,2009-05-14T00:00:00,2014-06-26T12:10:00,Cali,Partner,Transfer,Spayed Female
3 years,A609952,Dog,Labrador Retriever Mix,Black,2010-09-29T00:00:00,2014-04-22T16:59:00,June,partner,Return to Owner,Spayed Female
3 weeks,A680165,Cat,Domestic Shorthair Mix,Brown Tabby/White,2014-05-08T00:00:00,2014-05-30T14:38:00,Lucy,Partner,Transfer,Intact Male
1 year,A673762,Dog,Dachshund Mix,Black/Tan,2012-05-01T00:00:00,2014-03-02T12:07:00,Daisy,partner,Return to Owner,Spayed Female
8 months,A671144,Cat,Domestic Shorthair Mix,Brown Tabby/White,2013-05-19T00:00:00,2014-01-21T15:21:00,Lucy,SCRP,Transfer,Intact Female
2 years,A663422,Dog,German Shepherd/Rottweiler,Chocolate/Tan,2011-09-18T00:00:00,2013-11-23T14:20:00,Sparky Rex,partner,Return to Owner,Neutered Male
2 months,A664118,Dog,Australian Cattle Dog Mix,Red Tick/White,2013-08-14T00:00:00,2013-10-29T16:02:00,Lola,Foster,Adoption,Spayed Female
2 years,A674101,Dog,Beagle Mix,Tricolor,2012-03-07T00:00:00,2014-03-15T16:25:00,*Percy,Partner,Transfer,Neutered Male
2 months,A666971,Cat,Domestic Shorthair Mix,Orange Tabby/White,2013-09-10T00:00:00,2013-11-14T17:14:00,Lucy,partner,Adoption,Neutered Male
2 years,A684986,Cat,Siamese Mix,Flame Point,2012-07-31T00:00:00,2014-08-04T19:21:00,Walter,partner,Adoption,Neutered Male
4 months,A666945,Cat,Domestic Medium Hair Mix,Brown Tabby/White,2013-10-09T00:00:00,2014-02-10T17:47:00,Lucy,Foster,Adoption,Spayed Female
9 years,A378348,Dog,German Shepherd Mix,Black/Brown,2004-08-07T00:00:00,2014-04-23T07:43:00,Frijolito,Foster,Adoption,Neutered Male
1 year,A683207,Cat,Domestic Shorthair Mix,Blue/White,2013-07-08T00:00:00,2014-07-22T11:56:00,X,Partner,Transfer,Spayed Female
11 months,A667881,Dog,Dachshund/Miniature Pinscher,Black/Tan,2012-12-24T00:00:00,2013-11-30T19:13:00,Cooper,partner,Adoption,Neutered Male
3 weeks,A678258,Cat,Domestic Shorthair Mix,Black/White,2014-04-11T00:00:00,2014-05-06T16:58:00,Lucy,Partner,Transfer,Intact Female
4 weeks,A682448,Other,Bat,Brown,2014-05-27T00:00:00,2014-06-28T08:01:00,Lucy,Rabies Risk,Euthanasia,Unknown
4 months,A674687,Cat,Siamese Mix,Lilac Point,2013-11-16T00:00:00,2014-03-19T15:17:00,Pascal,Partner,Transfer,Intact Male
1 year,A677911,Dog,Pit Bull Mix,Black/White,2013-05-01T00:00:00,2014-05-02T11:48:00,Tiny,partner,Return to Owner,Spayed Female
5 years,A665123,Dog,Redbone Hound,Red/White,2008-10-14T00:00:00,2014-02-02T10:17:00,*Adele,partner,Adoption,Spayed Female
3 years,A683494,Dog,Jack Russell Terrier Mix,White/Brown,2011-07-11T00:00:00,2014-07-15T17:42:00,Bella,partner,Adoption,Spayed Female
1 year,A663134,Dog,Queensland Heeler Mix,Blue Merle,2012-09-13T00:00:00,2013-12-18T12:29:00,Lobo,partner,Adoption,Neutered Male
1 year,A666869,Cat,Domestic Shorthair Mix,Brown Tabby,2012-11-08T00:00:00,2014-02-04T14:44:00,Gidget,Partner,Transfer,Spayed Female
2 months,A682383,Dog,Pomeranian Mix,Tan,2014-04-27T00:00:00,2014-07-01T17:04:00,Lucy,partner,Adoption,Spayed Female
4 years,A671049,Cat,Domestic Longhair Mix,Gray,2010-01-17T00:00:00,2014-01-17T18:19:00,Riggs,partner,Return to Owner,Neutered Male
2 years,A668098,Dog,Pit Bull Mix,Blue/White,2011-11-27T00:00:00,2013-12-30T16:08:00,*Colonel,Partner,Transfer,Neutered Male
4 months,A684036,Dog,German Shepherd Mix,Sable,2014-03-03T00:00:00,2014-07-22T16:53:00,Baxter,partner,Adoption,Neutered Male
2 years,A670061,Dog,Chow Chow Mix,Red,2012-01-01T00:00:00,2014-01-24T13:41:00,Koda,partner,Adoption,Neutered Male
2 years,A672003,Cat,Domestic Shorthair Mix,Brown Tabby,2012-02-02T00:00:00,2014-02-04T13:51:00,Lucy,SCRP,Transfer,Intact Female
9 months,A684175,Cat,Domestic Shorthair Mix,Brown Tabby/White,2013-09-20T00:00:00,2014-07-21T09:00:00,Lucy,SCRP,Transfer,Unknown
3 years,A649685,Dog,Chihuahua Shorthair Mix,Brown,2010-03-19T00:00:00,2013-11-16T12:30:00,Rusty,Foster,Adoption,Neutered Male
2 months,A663977,Cat,Domestic Shorthair Mix,Silver Tabby,2013-07-27T00:00:00,2013-10-10T16:54:00,*Katy,Partner,Transfer,Intact Female
3 months,A685021,Cat,Domestic Shorthair Mix,Flame Point,2014-04-20T00:00:00,2014-08-09T16:17:00,*Jasmine,Partner,Transfer,Intact Female
1 year,A665279,Dog,Dachshund Mix,Black/Brown,2012-10-15T00:00:00,2013-11-04T15:10:00,Pinky,Partner,Transfer,Intact Female
3 weeks,A680775,Other,Skunk Mix,Black/White,2014-05-16T00:00:00,2014-06-07T16:10:00,Lucy,Rabies Risk,Euthanasia,Unknown
2 months,A679838,Cat,Domestic Shorthair Mix,Blue/White,2014-03-21T00:00:00,2014-06-15T15:28:00,Stitch,partner,Adoption,Neutered Male
16 years,A677912,Dog,Doberman Pinsch Mix,Black/Tan,1998-05-01T00:00:00,2014-05-01T11:47:00,Midnight,Suffering,Euthanasia,Intact Female
8 months,A672337,Dog,Labrador Retriever/Standard Poodle,Black,2013-06-08T00:00:00,2014-02-11T14:04:00,Jasper,partner,Adoption,Neutered Male
12 years,A671203,Dog,Dachshund Mix,Red,2002-01-25T00:00:00,2014-01-25T12:27:00,Paris,partner,Return to Owner,Spayed Female
4 months,A670603,Cat,Domestic Shorthair Mix,Brown Tabby/White,2013-09-10T00:00:00,2014-01-11T13:09:00,Yoda,partner,Return to Owner,Neutered Male
1 year,A669916,Dog,Bull Terrier Mix,Tricolor,2012-12-30T00:00:00,2014-02-25T10:57:00,Tigger,partner,Adoption,Neutered Male
9 years,A674874,Cat,Domestic Shorthair Mix,Brown Tabby/White,2005-04-29T00:00:00,2014-04-29T11:50:00,Wednesday,partner,Return to Owner,Spayed Female
2 months,A685772,Cat,Domestic Shorthair Mix,Brown Tabby/White,2014-05-28T00:00:00,2014-08-16T16:51:00,Lucy,partner,Adoption,Neutered Male
4 years,A654512,Dog,Plott Hound Mix,Brown Brindle/White,2009-05-21T00:00:00,2013-10-28T12:30:00,*Taylor,Partner,Transfer,Neutered Male
1 year,A682368,Cat,Domestic Medium Hair/Siamese,Lynx Point,2013-03-27T00:00:00,2014-06-28T09:00:00,Lucy,SCRP,Transfer,Intact Male
2 years,A675001,Other,Bat Mix,Brown,2012-03-21T00:00:00,2014-03-23T08:56:00,Lucy,partner,Disposal,Unknown
4 days,A684705,Cat,Domestic Shorthair Mix,Cream Tabby,2014-07-25T00:00:00,2014-07-29T14:34:00,Lucy,Partner,Transfer,Intact Male
3 months,A660137,Cat,Domestic Shorthair Mix,Blue Tabby,2013-06-26T00:00:00,2013-10-12T19:03:00,*Duffy,partner,Adoption,Neutered Male
6 months,A666384,Other,Raccoon Mix,Gray/Black,2013-05-01T00:00:00,2013-10-31T13:04:00,Lucy,Rabies Risk,Euthanasia,Unknown
6 years,A669919,Cat,Domestic Shorthair Mix,Brown Tabby/White,2007-12-30T00:00:00,2014-01-26T16:21:00,Louie,partner,Adoption,Neutered Male
5 years,A668623,Dog,Bullmastiff Mix,Fawn/Black,2008-12-06T00:00:00,2014-03-20T15:52:00,Forest,Partner,Transfer,Neutered Male
1 year,A672209,Dog,Cairn Terrier Mix,Tan,2013-02-05T00:00:00,2014-02-06T12:10:00,Lucy,Suffering,Euthanasia,Intact Female
3 years,A643280,Dog,Pit Bull Mix,White/Blue Cream,2010-12-07T00:00:00,2014-07-27T18:19:00,Nala,partner,Adoption,Spayed Female
1 year,A684347,Cat,Domestic Shorthair Mix,Tortie,2013-07-22T00:00:00,2014-07-22T15:54:00,Lucy,Partner,Transfer,Intact Female
1 year,A669860,Cat,Domestic Shorthair Mix,Black/White,2012-06-28T00:00:00,2014-01-01T18:29:00,Pepper,partner,Return to Owner,Spayed Female
6 months,A668167,Livestock,Pig Mix,Black/White,2013-05-28T00:00:00,2013-11-30T12:18:00,Lucy,partner,Return to Owner,Intact Female
2 months,A679548,Cat,Domestic Shorthair Mix,Black/White,2014-03-31T00:00:00,2014-06-16T13:53:00,*Grace,Partner,Transfer,Spayed Female
4 days,A677287,Cat,Domestic Shorthair Mix,Brown Tabby,2014-04-19T00:00:00,2014-04-23T11:17:00,Lucy,Partner,Transfer,Intact Male
1 month,A681963,Dog,Australian Cattle Dog Mix,White/Brown,2014-06-18T00:00:00,2014-08-13T17:26:00,*Diamond,Foster,Adoption,Spayed Female
3 months,A661127,Cat,Domestic Shorthair Mix,Tortie,2013-07-25T00:00:00,2013-11-03T17:22:00,Winnie,partner,Adoption,Spayed Female
7 months,A679837,Dog,Pit Bull Mix,White/Brown,2013-11-03T00:00:00,2014-06-28T12:24:00,Snow,partner,Return to Owner,Spayed Female
3 months,A671539,Dog,Border Collie Mix,Black/White,2013-10-26T00:00:00,2014-02-04T14:10:00,*Daisy,Partner,Transfer,Intact Female
9 years,A665004,Dog,Skye Terrier Mix,Black/Gray,2004-10-12T00:00:00,2013-10-15T19:21:00,Doogle,partner,Return to Owner,Neutered Male
3 years,A665617,Dog,Labrador Retriever/Pit Bull,White/Brown,2010-10-20T00:00:00,2013-10-24T17:30:00,Cognac,Partner,Transfer,Neutered Male
3 months,A663892,Cat,Domestic Shorthair Mix,Brown Tabby,2013-06-15T00:00:00,2013-10-13T16:42:00,*Ria,partner,Adoption,Spayed Female
1 year,A669118,Other,Raccoon Mix,Gray/Black,2012-12-14T00:00:00,2013-12-14T18:21:00,Lucy,Rabies Risk,Euthanasia,Unknown
1 month,A685390,Cat,Domestic Shorthair Mix,Orange Tabby/White,2014-06-14T00:00:00,2014-08-07T15:59:00,Lucy,Partner,Transfer,Intact Male
2 years,A668725,Dog,Belgian Malinois Mix,Sable,2011-12-08T00:00:00,2014-02-08T15:21:00,*Travis,partner,Adoption,Neutered Male
4 years,A669731,Dog,Tibetan Terrier Mix,Black/White,2009-12-26T00:00:00,2013-12-30T17:14:00,Lucy,partner,Adoption,Neutered Male
2 months,A684236,Dog,Black Mouth Cur Mix,Tan/White,2014-05-06T00:00:00,2014-07-26T11:55:00,Shabba,partner,Adoption,Neutered Male
2 years,A663869,Dog,Pit Bull Mix,White/Black,2011-09-25T00:00:00,2013-10-20T16:53:00,*Star,partner,Adoption,Spayed Female
2 years,A662154,Cat,Domestic Shorthair Mix,Orange Tabby,2011-08-30T00:00:00,2013-10-13T19:09:00,*Navaho,partner,Adoption,Spayed Female
2 years,A669503,Cat,Domestic Shorthair Mix,Black/White,2011-12-21T00:00:00,2013-12-28T14:52:00,Rio,Partner,Transfer,Spayed Female
2 months,A678718,Cat,Domestic Shorthair Mix,Brown Tabby,2014-04-05T00:00:00,2014-06-22T18:41:00,*Jack,partner,Adoption,Neutered Male
5 months,A671494,Dog,Great Pyrenees Mix,White,2013-08-28T00:00:00,2014-01-29T18:40:00,Lucy,Partner,Transfer,Intact Female
2 months,A665069,Cat,Domestic Shorthair Mix,Brown Tabby,2013-09-13T00:00:00,2013-12-07T16:46:00,*Millard,partner,Adoption,Neutered Male
2 months,A665206,Dog,German Shepherd Mix,Sable/White,2013-08-31T00:00:00,2013-11-25T11:07:00,*Matilda,Foster,Adoption,Spayed Female
1 year,A682715,Other,Bat Mix,Brown,2013-07-02T00:00:00,2014-07-03T08:17:00,Lucy,Rabies Risk,Euthanasia,Unknown
